...1,Date,Team,Acquired,Relinquished,Notes
4286,10/31/2000,Heat,NA,Dan Majerle,placed on IL with strained left hamstring
4287,11/2/2000,Magic,NA,Andrew DeClercq,placed on IL with strained left hamstring
4288,11/5/2000,Celtics,NA,Kenny Anderson,placed on IR with facial injury / broken jaw
4289,11/5/2000,Magic,NA,Grant Hill,placed on IL with sore left ankle
4293,11/8/2000,Wizards,NA,Ronald Jones / Popeye Jones,placed on IL with fractured left index finger
4295,11/9/2000,Rockets,NA,Kelvin Cato,placed on IL with sprained left ankle
4296,11/10/2000,Bucks,NA,Darvin Ham,placed on IR recovering from surgery on left foot
4298,11/10/2000,Celtics,NA,Jerome Moiso,placed on IL with strained right ankle
4299,11/10/2000,Celtics,NA,Randy Brown,placed on IL with groin injury
4301,11/10/2000,Raptors,NA,Tyrone Bogues / Muggsy Bogues,placed on IL recovering from surgery on right knee
4304,11/11/2000,Bulls,NA,Brad Miller,placed on IL with broken right hand
4305,11/11/2000,Bulls,NA,Bryce Drew,placed on IL with strained left hamstring
4308,11/11/2000,Celtics,NA,Adrian Griffin,placed on IL with lower back spasms
4310,11/11/2000,Lakers,NA,Tyronn Lue,placed on IL with sprained right ankle
4311,11/11/2000,Warriors,NA,Vonteego Cummings,placed on IR with fractured right cheekbone
4314,11/14/2000,Blazers,NA,Antonio Harvey,placed on IL with sore right knee
4316,11/14/2000,Cavaliers,NA,Wesley Person,placed on IL with bruised right elbow
4318,11/14/2000,Hawks,NA,Roshown McLeod,placed on IR with adjustment disorder due to death of mother
4321,11/15/2000,Warriors,NA,Danny Fortson,placed on IR with sore right foot
4322,11/16/2000,Hornets,NA,Otis Thorpe,placed on IL with strained left foot
4324,11/17/2000,Bucks,NA,Scott Williams,placed on IL with lower back spasms
4325,11/17/2000,Suns,NA,Chris Dudley,placed on IL with sprained left ankle
4327,11/17/2000,Timberwolves,NA,Sam Jacobson,placed on IL with left knee patella tendinitis
4329,11/18/2000,Clippers,NA,Brian Skinner,placed on IL with sprained right ankle
4331,11/18/2000,Hornets,NA,Derrick Coleman,placed on IR with poor conditioning / heart medication
4333,11/18/2000,Raptors,NA,Garth Joseph,placed on IL with bruised ribs
4336,11/20/2000,76ers,NA,Todd MacCulloch,placed on IL with left ankle tendinitis
4338,11/20/2000,Clippers,NA,Zendon Hamilton,placed on IL with strained lower back
4340,11/20/2000,Grizzlies,NA,Michael Dickerson,placed on IL with sprained left ankle
4342,11/20/2000,Pistons,NA,Billy Owens,placed on IL with back spasms
4344,11/21/2000,Bulls,NA,Jake Voskuhl,placed on IL with strained right hip flexor
4346,11/21/2000,Pacers,NA,Tyus Edney,placed on IL with plantar fasciatis in left foot
4349,11/22/2000,Cavaliers,NA,Vernell Coles / Bimbo Coles,placed on IL with left knee inflammation
4350,11/22/2000,Celtics,NA,Adrian Griffin,placed on IL with sore lower back
4352,11/22/2000,Pacers,NA,Sam Perkins,placed on IL with back spasms
4353,11/22/2000,Spurs,NA,Jaren Jackson (Sr.),placed on IL with sprained left ankle
4356,11/24/2000,Hawks,NA,Jim Jackson,placed on IL with sprained MCL in right knee
4357,11/24/2000,Knicks,NA,Felton Spencer,placed on IL with sprained right knee
4359,11/27/2000,Knicks,NA,Charlie Ward,placed on IR recovering from surgery on right knee
4361,11/28/2000,Cavaliers,NA,J.R. Reid,placed on IL with patellar tendinitis in both knees
4363,11/28/2000,Celtics,NA,Mark Blount,placed on IL with sprained right ankle
4365,11/28/2000,Clippers,NA,Earl Boykins,placed on IL with bruised right knee
4369,11/29/2000,Spurs,NA,Samaki Walker,placed on IL with sprained ankle
4371,11/30/2000,Bulls,NA,A.J. Guyton,placed on IL with sprained right knee
4372,12/1/2000,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
4374,12/1/2000,Bucks,NA,Michael Redd,placed on IL with sprained right ankle
4376,12/1/2000,Cavaliers,NA,Michael Hawkins,placed on IL with sprained left ankle
4378,12/1/2000,Timberwolves,NA,Reggie Slater,placed on IL with right knee tendinitis
4380,12/1/2000,Warriors,NA,Adonal Foyle,placed on IR with ligament damage in right ring finger
4382,12/2/2000,Celtics,NA,Chris Herren,placed on IR with bone spurs in right shoulder
4383,12/2/2000,Nuggets,NA,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess
4384,12/2/2000,Nuggets,NA,Terry Davis,placed on IL with right Achilles tendinitis
4386,12/2/2000,Pacers,NA,Bruno Sundov,placed on IL with strained hamstring
4389,12/4/2000,Wizards,NA,Mitch Richmond,placed on IR with partially torn MCL in left knee
4391,12/5/2000,Grizzlies,NA,Kevin Edwards,placed on IL with fractured left thumb
4393,12/5/2000,Pistons,NA,John Wallace,placed on IL with knee injury
4395,12/5/2000,Raptors,NA,Kornel David,placed on IL with back spasms
4398,12/6/2000,Warriors,NA,Chris Mullin,placed on IR with inflammation and cartilage damage in left knee
4400,12/7/2000,Mavericks,NA,Greg Buckner,placed on IL with sprained right foot
4402,12/7/2000,Suns,NA,Ruben Garces,placed on IL with sprained lower back
4404,12/8/2000,Rockets,NA,Jason Collier,placed on IL with surgery on right knee
4405,12/8/2000,Suns,NA,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR after dental surgery
4406,12/9/2000,76ers,NA,Eric Snow,placed on IR with stress fracture of right ankle
4408,12/9/2000,Pistons,NA,Jerome Williams,placed on IL with sprained right ankle
4410,12/10/2000,Celtics,NA,Chris Carr (Dean),placed on IL with sprained left ankle
4413,12/12/2000,Cavaliers,NA,Brevin Knight,placed on IL with sore right knee
4415,12/12/2000,Hawks,NA,Chris Crawford (Lee),placed on IL with sprained left ankle and sore right big toe
4417,12/12/2000,Warriors,NA,Chris Mills,placed on IR with right ankle inflammation
4419,12/13/2000,Hornets,NA,Terrance Roberson,placed on IL with right knee tendinitis
4421,12/13/2000,Pacers,NA,Terry Mills,placed on IL with sprained right ankle
4423,12/13/2000,Spurs,NA,Avery Johnson,placed on IL with bruised left quadriceps & sore left hamstring
4424,12/13/2000,Spurs,NA,Shawnelle Scott,placed on IL with left patella tendinitis
4427,12/14/2000,Raptors,NA,Garth Joseph,placed on IL with strained right groin
4429,12/15/2000,Bulls,NA,Jake Voskuhl,placed on IL with left foot tendinitis
4431,12/15/2000,Cavaliers,NA,Chris Mihm,placed on IR with high right ankle sprain
4433,12/15/2000,Grizzlies,NA,Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with back spasms
4435,12/15/2000,Hawks,NA,Jim Jackson,placed on IL with sprained right knee
4437,12/15/2000,Rockets,NA,Carlos Rogers,placed on IL with sprained left knee
4439,12/15/2000,Timberwolves,NA,Todd Day,placed on IL with hyperextended left knee
4441,12/17/2000,Mavericks,NA,Eduardo Najera,placed on IL with strained right groin
4443,12/17/2000,Pistons,NA,Jud Buechler,placed on IR with chip fracture in right ankle
4447,12/19/2000,Bulls,NA,Dalibor Bagaric,placed on IL with right knee tendinitis
4450,12/19/2000,Hawks,NA,Alan Henderson,placed on IL with sprained left shoulder
4452,12/19/2000,Lakers,NA,Devean George,placed on IR with sore throat & ear infection
4454,12/19/2000,Suns,NA,Mario Elie,placed on IL with broken left hand
4456,12/19/2000,Timberwolves,NA,Tom Hammonds,placed on IR with bilateral synovitis
4458,12/20/2000,Celtics,NA,Walter McCarty,placed on IL with right knee tendinitis
4459,12/20/2000,Nuggets,NA,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess in throat
4461,12/21/2000,Hornets,NA,Eddie Robinson,placed on IR with bruised tailbone
4462,12/22/2000,Heat,NA,Anthony Carter,placed on IL with strained right groin
4464,12/23/2000,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
4465,12/23/2000,Blazers,NA,Erick Barkley,placed on IL with left knee tendinitis
4467,12/23/2000,Cavaliers,NA,Wesley Person,placed on IR with sruised ulnar nerve in right elbow
4469,12/25/2000,Pacers,NA,Bruno Sundov,placed on IL with strained right groin
4471,12/26/2000,Cavaliers,NA,Zydrunas Ilgauskas,placed on IR with stress fracture of lavicular bone in left foot
4475,12/27/2000,Magic,NA,Grant Hill,placed on IL with broken left ankle (out for season)
4477,12/28/2000,Celtics,NA,Jerome Moiso,placed on IL with sprained right ankle
4479,12/28/2000,Pistons,NA,Brian Cardinal,placed on IL with tendinitis in both knees
4482,12/29/2000,Wizards,NA,Laron Profit,placed on IL with back spasms
4484,12/30/2000,Grizzlies,NA,Grant Long,placed on IR with fractured right thumb
4486,12/30/2000,Suns,NA,Ruben Garces,placed on IR with bulging disc
4489,1/1/2001,Celtics,NA,Tony Battie,placed on IL with sprained left ankle
4493,1/3/2001,Pacers,NA,Tyus Edney,placed on IL with sprained left ankle
4494,1/3/2001,Pistons,NA,Jerome Williams,placed on IL with sprained right ankle
4496,1/4/2001,Heat,NA,Don MacLean,placed on IR with tendinitis in right / left quadricep
4498,1/5/2001,76ers,NA,Matt Geiger,placed on IL with sore right knee
4500,1/5/2001,Hornets,NA,Tim James,placed on IL with tendinitis in both knees
4503,1/5/2001,Nets,NA,Soumaila Samake,placed on IL with left knee tendinitis
4506,1/7/2001,Clippers,NA,Keyon Dooling,placed on IL with viral syndrome
4508,1/7/2001,Knicks,NA,Rick Brunson,placed on IL with plantar fasciatis in right foot
4511,1/7/2001,Timberwolves,NA,Sam Jacobson,placed on IL with right knee patella tendinitis
4513,1/8/2001,Warriors,NA,Erick Dampier,placed on IL recovering from surgery on left knee
4515,1/9/2001,Lakers,NA,Mike Penberthy,placed on IL with strained right shoulder
4517,1/9/2001,Rockets,NA,Hakeem Olajuwon,placed on IR with swollen right knee
4519,1/9/2001,Spurs,NA,Sean Elliott,placed on IR with small tear in right rotator cuff
4521,1/10/2001,Celtics,NA,Adrian Griffin,placed on IL with sore lower back
4523,1/10/2001,Kings,NA,Lawrence Funderburke,placed on IL with strained right knee
4525,1/12/2001,Nuggets,NA,Calbert Cheaney,placed on IL with strained left hamstring
4528,1/14/2001,Suns,NA,Daniel Santiago,placed on IL with plantar fasciatis in left foot
4530,1/15/2001,Clippers,NA,Corey Maggette,placed on IR with mild concussion
4532,1/15/2001,Nuggets,NA,Aleksandar Radojevic,placed on IL recovering from surgery on back
4534,1/16/2001,Suns,NA,Anfernee Hardaway / Penny Hardaway,placed on IL with acute inflammation of soft tissue and soreness in left knee
4535,1/17/2001,Hawks,NA,Matt Maloney,placed on IR with a strained right hand
4536,1/17/2001,Wizards,NA,Obinna Ekezie,placed on IL with back spasms
4538,1/18/2001,Bulls,NA,Michael Ruffin,placed on IR with broken finger on right hand (out 2 months)
4540,1/18/2001,Sonics,NA,Ruben Wolkowyski,placed on IR with strained back
4541,1/19/2001,Grizzlies,NA,Kevin Edwards,placed on IL with right Achilles tendinitis
4543,1/19/2001,Knicks,NA,Lavor Postell,placed on IL with strained lower back
4545,1/19/2001,Lakers,NA,Stanislav Medvedenko,placed on IL with right knee tendinitis
4547,1/21/2001,Kings,NA,Jabari Smith (Sr.),placed on IL with right knee tendinitis
4549,1/22/2001,Blazers,NA,Gary Grant,placed on IR with right knee effusion (soreness)
4551,1/22/2001,Cavaliers,NA,Matt Harpring,placed on IR recovering from surgery on left ankle
4553,1/23/2001,Jazz,NA,Quincy Lewis,placed on IL with right knee tendinitis
4555,1/23/2001,Nets,NA,Jim McIlvaine,placed on IL with strained right calf and partially torn Achilles tendon (out 4-6 weeks)
4557,1/23/2001,Nuggets,NA,Garth Joseph,placed on IL with strained left groin
4559,1/23/2001,Raptors,NA,Mamadou N'diaye,placed on IL with strained right groin
4561,1/24/2001,Pistons,NA,Eric Montross,placed on IL with hyperextended left elbow
4563,1/24/2001,Rockets,NA,Kelvin Cato,placed on IL with partially torn left rotator cuff
4565,1/24/2001,Suns,NA,Tom Gugliotta,placed on IL with sore left knee
4567,1/25/2001,Blazers,NA,Scottie Pippen (Sr.),placed on IR with right elbow tendinitis
4569,1/25/2001,Jazz,NA,David Benoit,placed on IR with strained right deltoid muscle
4571,1/25/2001,Mavericks,NA,Donnell Harvey,placed on IR with right elbow tendinitis
4573,1/25/2001,Spurs,NA,Ira Newble,placed on IL with sprained right wrist
4575,1/25/2001,Wizards,NA,Laron Profit,placed on IL with back spasms
4577,1/26/2001,Hawks,NA,Brevin Knight,placed on IL with strained right groin
4578,1/26/2001,Hornets,NA,Eldridge Recasner,placed on IL with bronchitis
4580,1/29/2001,Clippers,NA,Earl Boykins,placed on IL with plantar fasciatis in left foot
4582,1/29/2001,Nuggets,NA,Calbert Cheaney,placed on IL with strained left hamstring
4584,1/30/2001,Heat,NA,Todd Fuller,placed on IL with left knee patella tendinitis
4586,1/30/2001,Pacers,NA,Sam Perkins,placed on IL with sprained neck
4588,2/1/2001,Blazers,NA,Antonio Harvey,placed on IL with sore right knee
4590,2/1/2001,Knicks,NA,Felton Spencer,placed on IL with sore right knee
4594,2/2/2001,Pistons,NA,Billy Owens,placed on IL with back spasms
4596,2/3/2001,Raptors,NA,Tyrone Bogues / Muggsy Bogues,placed on IL with sore right knee
4600,2/6/2001,Kings,NA,Jon Barry,placed on IL with fractured left hand
4602,2/8/2001,Hornets,NA,Lee Nailon,placed on IL with lower back spasms
4605,2/8/2001,Spurs,NA,Shawnelle Scott,placed on IR with tendinitis
4607,2/13/2001,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IR with strained back
4608,2/13/2001,76ers,NA,Theo Ratliff,placed on IL with fractured right wrist
4611,2/13/2001,Hawks,NA,Hanno Mottola,placed on IL with sprained left elbow
4612,2/13/2001,Spurs,NA,Malik Rose,placed on IR with sore right hip (DNP)
4614,2/14/2001,Hawks,NA,Matt Maloney,placed on IR with a strained right hand
4615,2/14/2001,Wizards,NA,Calvin Booth,placed on IR with shooter's elbow
4617,2/15/2001,Cavaliers,NA,Anthony Johnson,placed on IL with left knee patellar tendinitis
4619,2/15/2001,Celtics,NA,Randy Brown,placed on IL with hyperextended left knee
4621,2/15/2001,Pacers,NA,Terry Mills,placed on IL with knee injury
4623,2/16/2001,Hornets,NA,Derrick Coleman,placed on IL with strained left calf
4624,2/16/2001,Rockets,NA,Jason Collier,placed on IR with quadriceps tendinitis
4626,2/18/2001,Kings,NA,Nick Anderson,placed on IL with lower back spasms
4627,2/18/2001,Lakers,NA,Ron Harper (Sr.),placed on IL with sore left knee
4629,2/20/2001,Magic,NA,Pat Garrity,placed on IL with surgery on left knee (out 2-3 weeks)
4631,2/21/2001,Spurs,NA,Ira Newble,placed on IL with patella tendinitis
4634,2/22/2001,Blazers,NA,Will Perdue,placed on IL with strained left hamstring
4636,2/22/2001,Knicks,NA,Travis Knight,placed on IL with sprained left ankle
4640,2/22/2001,Pistons,NA,Jud Buechler,placed on IL with back spasms
4641,2/22/2001,Wizards,NA,Rod Strickland,placed on IL with sore hamstrings
4643,2/23/2001,Hawks,NA,Theo Ratliff,placed on IL with a stress fracture in right wrist
4646,2/23/2001,Mavericks,NA,Calvin Booth,placed on IR with left elbow tendinitis
4647,2/23/2001,Pistons,NA,Kornel David,placed on IL with back spasms
4650,2/23/2001,Raptors,NA,Mamadou N'diaye,placed on IL with strained groin
4651,2/25/2001,Cavaliers,NA,Chucky Brown,placed on IL with sprained right ankle
4653,2/25/2001,Knicks,NA,Tyrone Bogues / Muggsy Bogues,placed on IL with sore right knee
4655,2/26/2001,Celtics,NA,Jerome Moiso,placed on IR with right infrapatella tendinitis
4656,2/26/2001,Celtics,NA,Kenny Anderson,placed on IL with sprained right ankle
4659,2/27/2001,Mavericks,NA,Obinna Ekezie,placed on IL with sprained right (left?) ankle
4660,2/28/2001,Bulls,NA,Khalid El-Amin,placed on IL with left knee tendinitis
4662,2/28/2001,Nuggets,NA,Anthony Goldwire,placed on IL with sprained right wrist
4664,2/28/2001,Rockets,NA,Matt Bullard,placed on IR with stress fracture in back
4665,2/28/2001,Warriors,NA,Chris Mullin,placed on IL with strained lower back
4667,3/1/2001,Bucks,NA,Jerome Kersey,placed on IL with foot injury
4669,3/2/2001,Bulls,NA,Dragan Tarlac,placed on IL with left ankle tendinitis
4671,3/2/2001,Jazz,NA,DeShawn Stevenson,placed on IL with right knee tendinitis
4674,3/2/2001,Wizards,NA,Tyrone Nesby,placed on IL with sprained right ankle
4675,3/4/2001,Knicks,NA,Rick Brunson,placed on IL with plantar fasciatis in right foot
4677,3/5/2001,Blazers,NA,Greg Anthony,placed on IL with sore right shoulder
4679,3/5/2001,Grizzlies,NA,Brent Price,placed on IR with right knee osteoarthritis
4681,3/5/2001,Pistons,NA,Brian Cardinal,placed on IL with patella tendinitis in both knees
4683,3/5/2001,Spurs,NA,Jaren Jackson (Sr.),placed on IL with strained right calf
4685,3/6/2001,Knicks,NA,Luc Longley,placed on IR with sprained left ankle / sore back
4687,3/6/2001,Wizards,NA,Chris Whitney,placed on IL with sprained left ankle
4688,3/7/2001,76ers,NA,Roshown McLeod,placed on IL with left leg injury
4689,3/7/2001,Heat,NA,Eddie Jones,placed on IR with dislocated left shoulder
4691,3/7/2001,Pacers,NA,Bruno Sundov,placed on IL with strained left groin
4693,3/8/2001,Nuggets,NA,Calbert Cheaney,placed on IL
4695,3/9/2001,Hawks,NA,Lorenzen Wright,placed on IL with a sprained right thumb
4696,3/10/2001,Pacers,NA,Derrick McKey,placed on IL with strained lower back
4697,3/11/2001,Celtics,NA,Chris Carr (Dean),placed on IL with broken left thumb
4699,3/11/2001,Hornets,NA,Eldridge Recasner,placed on IL with back spasms
4702,3/12/2001,Kings,NA,Jabari Smith (Sr.),placed on IL with right knee tendinitis
4704,3/13/2001,Lakers,NA,Mike Penberthy,placed on IL with strained right shoulder
4706,3/14/2001,Spurs,NA,Derrick Dial,placed on IL with sprained right wrist
4708,3/15/2001,Rockets,NA,Hakeem Olajuwon,placed on IR with blood clot in left leg
4710,3/16/2001,Blazers,NA,Erick Barkley,placed on IL with sore left knee
4712,3/16/2001,Bulls,NA,Michael Ruffin,placed on IR with fractured left hand
4714,3/16/2001,Cavaliers,NA,Cedric Henderson (Earl),placed on IL with strained left groin
4716,3/16/2001,Pacers,NA,Lari Ketner,placed on IL with lower back spasms
4718,3/16/2001,Spurs,NA,Ira Newble,placed on IR with sprained finger
4721,3/19/2001,Pacers,NA,Terry Mills,placed on IL with strained lower back
4723,3/20/2001,Cavaliers,NA,Robert Traylor / Tractor Traylor,placed on IL with lower back spasms
4727,3/21/2001,Mavericks,NA,Gary Trent,placed on IR with sprained left toe
4729,3/21/2001,Nets,NA,Jamie Feick,placed on IR with sore left Achilles tendon
4731,3/23/2001,Lakers,NA,Tyronn Lue,placed on IL with sprained left ankle
4734,3/23/2001,Pistons,NA,Michael Curry,placed on IR with dislocated right thumb
4736,3/24/2001,Mavericks,NA,Donnell Harvey,placed on IR with right elbow tendinitis
4737,3/25/2001,Timberwolves,NA,Anthony Peeler,placed on IL with sprained left ankle
4739,3/26/2001,Cavaliers,NA,Jim Jackson,placed on IR with plantar fasciitis in left foot
4742,3/27/2001,Bulls,NA,Bryce Drew,placed on IR with right foot plantar fascia strain (torn per Bulls media guide)
4743,3/27/2001,Heat,NA,Don MacLean,placed on IR with left knee/quadriceps tendinitis
4745,3/27/2001,Jazz,NA,David Benoit,placed on IR with strained right deltoid muscle (sprained right ankle per P)
4747,3/27/2001,Rockets,NA,Sean Colson,placed on IR with sore right foot
4749,3/28/2001,Mavericks,NA,Mark Bryant,placed on IL with sprained left thumb
4750,3/29/2001,Bulls,NA,Dragan Tarlac,placed on IR with sprained left ankle (sprained right ankle per Bulls media guide)
4752,3/30/2001,Cavaliers,NA,Cedric Henderson (Earl),placed on IL with strained left groin
4754,3/30/2001,Celtics,NA,Jerome Moiso,placed on IR with right infrapatella tendonitis
4756,3/31/2001,Warriors,NA,Bob Sura,placed on IL with strained lower back
4757,4/2/2001,Hornets,NA,Lee Nailon,placed on IL with left knee tendinitis
4759,4/3/2001,Heat,NA,Duane Causwell,placed on IL with sprained left ankle
4761,4/4/2001,Magic,NA,Darrell Armstrong,placed on IL with strained groin
4762,4/4/2001,Nuggets,NA,Terry Davis,placed on IL with strained left calf
4764,4/5/2001,Kings,NA,Art Long,placed on IL with right knee patella tendinitis
4766,4/5/2001,Rockets,NA,Maurice Taylor,placed on IR with sore left & right Achilles tendon
4768,4/6/2001,76ers,NA,Juan Sanchez / Pepe Sanchez,placed on IL with right knee tendinitis
4769,4/6/2001,Blazers,NA,Shawn Kemp,"placed on IR, player checked into drug rehab program for cocaine abuse"
4772,4/6/2001,Mavericks,NA,Greg Buckner,placed on IR with dislocated left kneecap
4773,4/6/2001,Mavericks,NA,Obinna Ekezie,placed on IL with left Achilles tendinitis
4776,4/6/2001,Timberwolves,NA,Sam Jacobson,placed on IL with right knee patella tendinitis
4778,4/7/2001,Celtics,NA,Randy Brown,placed on IR with a right adductor strain
4780,4/7/2001,Jazz,NA,Quincy Lewis,placed on IL with tendinitis in both knees
4782,4/7/2001,Knicks,NA,Lavor Postell,placed on IL with strep throat
4784,4/8/2001,Pistons,NA,Billy Owens,placed on IL with back spasms
4787,4/10/2001,Blazers,NA,Bonzi Wells,placed on IL with torn ACL in left knee (out for season)
4789,4/10/2001,Heat,NA,Todd Fuller,placed on IL with left knee tendinitis
4791,4/10/2001,Hornets,NA,Tim James,placed on IL with left knee tendinitis
4792,4/10/2001,Lakers,NA,Isaiah Rider / J.R. Rider,placed on IL with back spasms
4794,4/11/2001,Jazz,NA,Scott Padgett,placed on IL with strained right groin
4796,4/13/2001,Bulls,NA,Jamal Crawford,placed on IL with hyperextended left knee
4798,4/14/2001,Bucks,NA,Tim Thomas,placed on IR with right shoulder subluxation
4801,4/15/2001,Heat,NA,Tim Hardaway Sr.,placed on IL with bruised left foot
4803,4/15/2001,Magic,NA,Cory Alexander,placed on IL with bruised right foot
4805,4/15/2001,Sonics,NA,Jelani McCoy,placed on IL with sprained left ankle
4807,4/16/2001,Cavaliers,NA,Vernell Coles / Bimbo Coles,placed on IL with sprained right thumb
4809,4/16/2001,Clippers,NA,Corey Maggette,placed on IL with strained right groin
4811,4/17/2001,76ers,NA,Allen Iverson,placed on IR with bursitis in right elbow
4813,4/17/2001,Bucks,NA,Jason Caffey,placed on IL with left knee tendinitis
4814,4/17/2001,Bucks,NA,Sam Cassell,placed on IL with strained right hip flexor
4817,4/17/2001,Pacers,NA,Derrick McKey,placed on IL with strained lower back
4818,4/17/2001,Pacers,NA,Sam Perkins,placed on IL with sprained left ankle
4821,4/18/2001,76ers,NA,Dikembe Mutombo,placed on IR with sprained left fifth toe
4823,4/18/2001,Heat,NA,Anthony Mason (Sr.),placed on IL with sprained left ankle
4825,4/18/2001,Kings,NA,Lawrence Funderburke,placed on IL with strained left groin
4827,4/18/2001,Knicks,NA,Marcus Camby,placed on IL with bruised left hip
4829,4/18/2001,Timberwolves,NA,Kevin Garnett,placed on IL with bruised left calf
4886,10/29/2001,76ers,NA,Alvin Jones,placed on IL with right knee tendinitis
4887,10/29/2001,76ers,NA,Eric Snow,placed on IL with broken left thumb
4888,10/29/2001,76ers,NA,Samuel Dalembert,placed on IL with left knee tendinitis
4889,10/29/2001,Blazers,NA,Chris Dudley,placed on IR with right shoulder rotator cuff weakness
4890,10/29/2001,Blazers,NA,Mitchell Butler,placed on IL with left knee/quadricaps tendinitis
4891,10/29/2001,Blazers,NA,Rick Brunson,placed on IR with sprained left metatarsal
4892,10/29/2001,Bucks,NA,Darvin Ham,placed on IL recovering from surgery on right knee
4893,10/29/2001,Bulls,NA,Eddie Robinson,placed on IR with non-acute fracture of left big toe
4894,10/29/2001,Bulls,NA,Jamal Crawford,placed on IL with torn ACL in left knee
4895,10/29/2001,Bulls,NA,Ron Artest / Metta World Peace,placed on IL recovering from surgery on right ring finger
4896,10/29/2001,Cavaliers,NA,Jeff Trepagnier,placed on IL with sprained left ankle
4897,10/29/2001,Cavaliers,NA,Tyrone Hill,placed on IL with back spasms
4898,10/29/2001,Cavaliers,NA,Zydrunas Ilgauskas,placed on IL recovering from surgery on left foot (out until mid-Dec)
4899,10/29/2001,Celtics,NA,Randy Brown,placed on IR with pulled/strained right groin
4900,10/29/2001,Celtics,NA,Roshown McLeod,placed on IR with nerve damage in left leg
4901,10/29/2001,Clippers,NA,Harold Jamison,placed on IR with bruised left shin
4902,10/29/2001,Grizzlies,NA,Antonis Fotsis,placed on IL with right knee tendinitis
4903,10/29/2001,Grizzlies,NA,Bryant Reeves,placed on IL with back injury
4904,10/29/2001,Hawks,NA,Alan Henderson,placed on IL with right knee inflammation
4905,10/29/2001,Heat,NA,Chris Gatling,placed on IR with lack of conditioning
4906,10/29/2001,Heat,NA,Ernest Brown,placed on IR with dislocated/jammed right thumb
4907,10/29/2001,Heat,NA,Malik Allen,placed on IL with sprained right ankle
4908,10/29/2001,Hornets,NA,George Lynch,placed on IR with surgery on left foot
4909,10/29/2001,Hornets,NA,Jerome Moiso,placed on IL with back spasms / left knee tendinitis (P)
4910,10/29/2001,Hornets,NA,Kirk Haston,placed on IL with back spasms
4911,10/29/2001,Jazz,NA,Jarron Collins,placed on IL with sprained left thumb
4912,10/29/2001,Kings,NA,Chris Webber,placed on IL with sprained left ankle
4913,10/29/2001,Knicks,NA,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis
4914,10/29/2001,Knicks,NA,Marcus Camby,placed on IL with plantar fasciatis in left foot
4915,10/29/2001,Lakers,NA,Derek Fisher,placed on IL with fractured right foot
4916,10/29/2001,Lakers,NA,Joe Crispin,placed on IR with injured knee / surgery on left wrist (P)
4917,10/29/2001,Lakers,NA,Mark Madsen,placed on IL with abdominal strain / right knee tendinitis (P)
4918,10/29/2001,Magic,NA,Jeryl Sasser,placed on IL with right knee patella tendinitis
4919,10/29/2001,Magic,NA,Mike Miller,placed on IL with chip fracture in right foot
4920,10/29/2001,Mavericks,NA,Darrick Martin,placed on IL with broken right hand
4921,10/29/2001,Mavericks,NA,Eduardo Najera,placed on IL with left knee tendinitis
4922,10/29/2001,Mavericks,NA,Ruben Wolkowyski,placed on IL with sprained right ankle
4923,10/29/2001,Nets,NA,Brian Scalabrine,placed on IL with broken right foot
4924,10/29/2001,Nets,NA,Jamie Feick,placed on IL
4925,10/29/2001,Nuggets,NA,Antonio McDyess,placed on IR recovering from knee surgery
4926,10/29/2001,Nuggets,NA,Calbert Cheaney,placed on IL with sprained left knee
4927,10/29/2001,Nuggets,NA,Kenny Satterfield,placed on IR with sprained thumb
4928,10/29/2001,Pacers,NA,Jamison Brewer,placed on IL with sprained right toe
4929,10/29/2001,Pacers,NA,Norm Richardson,placed on IL with sprained left ankle
4930,10/29/2001,Pistons,NA,Brian Cardinal,placed on IL with tendinitis in both knees
4931,10/29/2001,Pistons,NA,Damon Jones,placed on IL with right knee tendinitis
4932,10/29/2001,Pistons,NA,Ratko Varda,placed on IL with back spasms
4933,10/29/2001,Raptors,NA,Dell Curry,placed on IL with strained left hamstring
4934,10/29/2001,Raptors,NA,Mamadou N'diaye,placed on IL with lower back injury
4935,10/29/2001,Raptors,NA,Michael Stewart,placed on IL with sore left knee
4936,10/29/2001,Rockets,NA,Dan Langhi,placed on IL with sprained right ankle
4937,10/29/2001,Rockets,NA,Jason Collier,placed on IL with medial tibial periostitis
4938,10/29/2001,Rockets,NA,Maurice Taylor,placed on IL with torn right Achilles tendon
4939,10/29/2001,Sonics,NA,Predrag Drobnjak / Peja Drobnjak,placed on IL with sprained left ankle
4940,10/29/2001,Sonics,NA,Shammond Williams,placed on IR with fractured left ring finger
4941,10/29/2001,Spurs,NA,Charles Smith (Cornelius),placed on IL
4942,10/29/2001,Spurs,NA,Mark Bryant,placed on IL
4943,10/29/2001,Suns,NA,Dan Majerle,placed on IL with fractured right ring finger
